square,location,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,grid_lines.started,key_next.started,target_reward.started,target_reward.stopped,grid_lines.stopped,key_next.keys,key_next.rt,participant,session,date,expName,psychopyVersion,frameRate,
7,"[-0.2, -0.2]",0,0,0,10,12.807219792000978,12.807219792000978,13.281069333999767,14.280652584002382,14.806109375000233,space,5.788997165996989,005502,001,2023-02-16_16h41.44.681,collect_rewards_grid,2022.2.5,None,
7,"[-0.2, -0.2]",0,1,1,6,18.6052377920023,18.6052377920023,19.09106470900224,,,space,0.9743927910021739,005502,001,2023-02-16_16h41.44.681,collect_rewards_grid,2022.2.5,None,
3,"[0.2, 0.2]",0,2,2,2,19.58950704200106,19.58950704200106,20.081302417002007,,,space,0.8200736660000985,005502,001,2023-02-16_16h41.44.681,collect_rewards_grid,2022.2.5,None,
8,"[0, -0.2]",0,3,3,7,20.416454500002146,20.416454500002146,20.90768562500307,,,space,0.8350042909987678,005502,001,2023-02-16_16h41.44.681,collect_rewards_grid,2022.2.5,None,
9,"[0.2, -0.2]",0,4,4,8,21.267458375001297,21.267458375001297,21.759560750000674,,,space,0.8335307910019765,005502,001,2023-02-16_16h41.44.681,collect_rewards_grid,2022.2.5,None,
6,"[0.2, 0]",0,5,5,5,22.112522709001496,22.112522709001496,22.607622542000172,,,space,0.812606791001599,005502,001,2023-02-16_16h41.44.681,collect_rewards_grid,2022.2.5,None,
1,"[-0.2, 0.2]",0,6,6,0,22.93312537500242,22.93312537500242,23.426274792000186,,,space,0.7964108740015945,005502,001,2023-02-16_16h41.44.681,collect_rewards_grid,2022.2.5,None,
4,"[-0.2, 0]",0,7,7,9,23.73777975000121,23.73777975000121,24.225286292003148,,,space,0.8194027909994475,005502,001,2023-02-16_16h41.44.681,collect_rewards_grid,2022.2.5,None,
4,"[-0.2, 0]",0,8,8,3,24.57659679200151,24.57659679200151,25.060138292003103,,,space,0.848771207001846,005502,001,2023-02-16_16h41.44.681,collect_rewards_grid,2022.2.5,None,
2,"[0, 0.2]",0,9,9,1,25.431695999999647,25.431695999999647,25.915983541999594,,,space,0.9252063319981971,005502,001,2023-02-16_16h41.44.681,collect_rewards_grid,2022.2.5,None,
5,"[0, 0]",0,10,10,4,26.36636033400282,26.36636033400282,26.85272541700033,,,space,0.8683237909972377,005502,001,2023-02-16_16h41.44.681,collect_rewards_grid,2022.2.5,None,
1,"[-0.2, 0.2]",0,11,11,11,27.24160708400086,27.24160708400086,27.7295672500004,,,space,0.8508328749994689,005502,001,2023-02-16_16h41.44.681,collect_rewards_grid,2022.2.5,None,
