2.2878 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
8.0857 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

8.0871 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f8a5b0e9340>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f89f65f8940>, multiSample=False, name='window1', numSamples=2, pos=[432.0, 279.25], screen=0, size=array([3456, 2234]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.0876 	EXP 	window1: mouseVisible = True
8.0878 	EXP 	window1: mouseVisible = True
8.0878 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.0879 	EXP 	window1: recordFrameIntervals = False
8.1645 	EXP 	window1: recordFrameIntervals = True
9.0019 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

12.5238 	EXP 	Created grid_lines = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='grid.png', interpolate=True, mask=None, maskParams=None, name='grid_lines', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.55, 0.55]), texRes=128.0, units='height', win=Window(...))
12.7886 	EXP 	Created target_reward = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='coffee.png', interpolate=True, mask=None, maskParams=None, name='target_reward', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
12.7961 	EXP 	Imported conditions.xlsx as conditions, 12 conditions, 2 params
12.7967 	EXP 	Created sequence: random, trialTypes=12, nReps=1, seed=None
12.7969 	EXP 	New trial (rep=0, index=0): {'square': 7, 'location': [-0.2, -0.2]}
12.8072 	WARNING 	t of last frame was 3805.78ms (=1/0)
12.8072 	EXP 	grid_lines: autoDraw = True
13.2811 	EXP 	target_reward: autoDraw = True
14.2807 	EXP 	target_reward: autoDraw = False
14.8061 	EXP 	grid_lines: autoDraw = False
15.8084 	DATA 	Keypress: down
15.8115 	WARNING 	t of last frame was 54.41ms (=1/18)
18.5984 	EXP 	New trial (rep=0, index=1): {'square': 7, 'location': [-0.2, -0.2]}
18.6009 	DATA 	Keypress: space
18.6052 	EXP 	grid_lines: autoDraw = False
18.6052 	EXP 	target_reward: autoDraw = False
18.6052 	EXP 	grid_lines: autoDraw = True
19.0911 	EXP 	target_reward: autoDraw = True
