square,location,loop_no,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,grid_lines.started,key_next.started,target_reward.started,target_reward.stopped,key_next.keys,key_next.rt,participant,session,date,expName,psychopyVersion,frameRate,
1,"[-0.2, 0.2]",1,0,0,0,0,16.106375209000362,16.106375209000362,16.566173084000184,17.560528584000167,right,5.235735082999781,238402,001,2023-02-17_11h57.40.003,collect_rewards_grid,2022.2.5,None,
6,"[0.2, 0]",2,0,1,1,5,21.486836875000336,21.486836875000336,21.882184542000232,22.879709542,right,1.7435064159999456,238402,001,2023-02-17_11h57.40.003,collect_rewards_grid,2022.2.5,None,
7,"[-0.2, -0.2]",3,0,2,2,10,23.254868042,23.254868042,23.72562166700027,24.723678125000333,right,1.776886082999681,238402,001,2023-02-17_11h57.40.003,collect_rewards_grid,2022.2.5,None,
9,"[0.2, -0.2]",3,0,3,3,8,25.042583542000102,25.042583542000102,25.524188209000386,,right,1.2060486249997666,238402,001,2023-02-17_11h57.40.003,collect_rewards_grid,2022.2.5,None,
8,"[0, -0.2]",2,0,4,4,7,26.258246792000136,26.258246792000136,26.749737417000233,,right,1.1645711660003144,238402,001,2023-02-17_11h57.40.003,collect_rewards_grid,2022.2.5,None,
7,"[-0.2, -0.2]",2,0,5,5,6,27.432841209000344,27.432841209000344,27.915524042000015,,right,0.7402034579999963,238402,001,2023-02-17_11h57.40.003,collect_rewards_grid,2022.2.5,None,
3,"[0.2, 0.2]",1,0,6,6,2,28.186465042000236,28.186465042000236,28.67697762500029,,right,0.5654332500002965,238402,001,2023-02-17_11h57.40.003,collect_rewards_grid,2022.2.5,None,
2,"[0, 0.2]",1,0,7,7,1,28.767800999999963,28.767800999999963,29.26267050000024,,right,0.5192039160001514,238402,001,2023-02-17_11h57.40.003,collect_rewards_grid,2022.2.5,None,
5,"[0, 0]",2,0,8,8,4,29.300138334000167,29.300138334000167,,,right,0.35640766699998494,238402,001,2023-02-17_11h57.40.003,collect_rewards_grid,2022.2.5,None,
4,"[-0.2, 0]",3,0,9,9,9,29.667022750000342,29.667022750000342,,,right,0.3133137500003613,238402,001,2023-02-17_11h57.40.003,collect_rewards_grid,2022.2.5,None,
,,,,,,,29.99474925000004,29.99474925000004,30.48538683400011,,,,,,,,,,
