2.2166 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
8.6775 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

8.6792 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7facc9550250>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7facbee21910>, multiSample=False, name='window1', numSamples=2, pos=[432.0, 279.25], screen=0, size=array([3456, 2234]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.6797 	EXP 	window1: mouseVisible = True
8.6798 	EXP 	window1: mouseVisible = True
8.6800 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.6800 	EXP 	window1: recordFrameIntervals = False
8.7613 	EXP 	window1: recordFrameIntervals = True
9.5933 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

13.1255 	EXP 	Created grid_lines = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='grid.png', interpolate=True, mask=None, maskParams=None, name='grid_lines', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
13.4033 	EXP 	Created target_reward = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='coffee.png', interpolate=True, mask=None, maskParams=None, name='target_reward', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
13.4110 	EXP 	Imported conditions.xlsx as conditions, 12 conditions, 2 params
13.4118 	EXP 	Created sequence: random, trialTypes=12, nReps=1, seed=None
13.4120 	EXP 	New trial (rep=0, index=0): {'square': 1, 'location': [-0.2, 0.2]}
13.4272 	WARNING 	t of last frame was 3834.16ms (=1/0)
13.4272 	EXP 	grid_lines: autoDraw = True
13.9015 	EXP 	target_reward: autoDraw = True
14.8935 	EXP 	target_reward: autoDraw = False
15.4186 	EXP 	grid_lines: autoDraw = False
17.2825 	DATA 	Keypress: right
17.2860 	WARNING 	t of last frame was 54.44ms (=1/18)
17.2874 	EXP 	New trial (rep=0, index=1): {'square': 8, 'location': [0, -0.2]}
17.2921 	EXP 	grid_lines: autoDraw = False
17.2921 	EXP 	target_reward: autoDraw = False
17.2921 	EXP 	grid_lines: autoDraw = True
17.7850 	EXP 	target_reward: autoDraw = True
18.7713 	EXP 	target_reward: autoDraw = False
19.2176 	EXP 	New trial (rep=0, index=2): {'square': 4, 'location': [-0.2, 0]}
19.2231 	DATA 	Keypress: right
19.2267 	EXP 	grid_lines: autoDraw = False
19.2267 	EXP 	target_reward: autoDraw = False
19.2267 	EXP 	grid_lines: autoDraw = True
19.7072 	EXP 	target_reward: autoDraw = True
20.2705 	DATA 	Keypress: right
20.2750 	EXP 	New trial (rep=0, index=3): {'square': 2, 'location': [0, 0.2]}
20.2783 	EXP 	grid_lines: autoDraw = False
20.2783 	EXP 	target_reward: autoDraw = False
20.2783 	EXP 	grid_lines: autoDraw = True
20.7744 	EXP 	target_reward: autoDraw = True
21.1869 	EXP 	New trial (rep=0, index=4): {'square': 6, 'location': [0.2, 0]}
21.1886 	DATA 	Keypress: right
21.1920 	EXP 	grid_lines: autoDraw = False
21.1920 	EXP 	target_reward: autoDraw = False
21.1920 	EXP 	grid_lines: autoDraw = True
21.6824 	EXP 	target_reward: autoDraw = True
21.9963 	EXP 	New trial (rep=0, index=5): {'square': 7, 'location': [-0.2, -0.2]}
21.9976 	DATA 	Keypress: right
22.0089 	EXP 	grid_lines: autoDraw = False
22.0089 	EXP 	target_reward: autoDraw = False
22.0089 	EXP 	grid_lines: autoDraw = True
22.4993 	EXP 	target_reward: autoDraw = True
22.7360 	EXP 	New trial (rep=0, index=6): {'square': 1, 'location': [-0.2, 0.2]}
22.7375 	DATA 	Keypress: right
22.7411 	EXP 	grid_lines: autoDraw = False
22.7411 	EXP 	target_reward: autoDraw = False
22.7411 	EXP 	grid_lines: autoDraw = True
23.2330 	EXP 	target_reward: autoDraw = True
24.2348 	EXP 	target_reward: autoDraw = False
24.6141 	DATA 	Keypress: escape
24.7431 	EXP 	grid_lines: autoDraw = False
25.0236 	EXP 	window1: mouseVisible = True
