square,location,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,grid_lines.started,key_next.started,target_reward.started,target_reward.stopped,key_next.keys,key_next.rt,participant,session,date,expName,psychopyVersion,frameRate,
9,"[0.2, -0.2]",0,0,0,8,13.312422834002064,13.312422834002064,13.781145542001468,14.783311417002551,right,2.2120179159974214,831568,001,2023-02-16_16h42.42.138,collect_rewards_grid,2022.2.5,None,
4,"[-0.2, 0]",0,1,1,9,15.580537792000541,15.580537792000541,16.081633125002554,17.069101500001125,right,2.0473928740029805,831568,001,2023-02-16_16h42.42.138,collect_rewards_grid,2022.2.5,None,
2,"[0, 0.2]",0,2,2,1,17.643059709000227,17.643059709000227,18.13404625000112,19.122222292000515,space,3.0426717910013394,831568,001,2023-02-16_16h42.42.138,collect_rewards_grid,2022.2.5,None,
5,"[0, 0]",0,3,3,4,20.70750741700249,20.70750741700249,21.200523709001573,22.195731584000896,space,2.441579290996742,831568,001,2023-02-16_16h42.42.138,collect_rewards_grid,2022.2.5,None,
7,"[-0.2, -0.2]",0,4,4,6,23.164057500001945,23.164057500001945,23.65516687499985,,space,1.2907280409999657,831568,001,2023-02-16_16h42.42.138,collect_rewards_grid,2022.2.5,None,
4,"[-0.2, 0]",0,5,5,3,24.465709625001182,24.465709625001182,24.95860850000099,,space,1.2043657489994075,831568,001,2023-02-16_16h42.42.138,collect_rewards_grid,2022.2.5,None,
7,"[-0.2, -0.2]",0,6,6,10,25.680300042000454,25.680300042000454,26.175501125002484,,space,1.135754081999039,831568,001,2023-02-16_16h42.42.138,collect_rewards_grid,2022.2.5,None,
1,"[-0.2, 0.2]",0,7,7,11,26.83272183400186,26.83272183400186,27.331443167000543,,space,0.9970591659985075,831568,001,2023-02-16_16h42.42.138,collect_rewards_grid,2022.2.5,None,
6,"[0.2, 0]",0,8,8,5,27.83695712500048,27.83695712500048,28.323107459000312,,space,1.0305372910006554,831568,001,2023-02-16_16h42.42.138,collect_rewards_grid,2022.2.5,None,
8,"[0, -0.2]",0,9,9,7,28.883402000003116,28.883402000003116,29.370507209001516,,space,1.1724070820018824,831568,001,2023-02-16_16h42.42.138,collect_rewards_grid,2022.2.5,None,
3,"[0.2, 0.2]",0,10,10,2,30.065729959002056,30.065729959002056,30.55402958400009,,space,1.0673719989972597,831568,001,2023-02-16_16h42.42.138,collect_rewards_grid,2022.2.5,None,
1,"[-0.2, 0.2]",0,11,11,0,31.141588917002082,31.141588917002082,31.63247025000237,,space,0.9547774570019101,831568,001,2023-02-16_16h42.42.138,collect_rewards_grid,2022.2.5,None,
