rank,vec_index,row,col,label_row,label_col,contribution
1,2702,49,57,"D1_backw_A_reward with D2_forw_A_reward","D1_forw_A_reward with D2_backw_A_reward",12.159646289432509
2,2371,39,71,"C1_backw_D_reward with C2_forw_D_reward","E1_backw_D_reward with E2_forw_D_reward",8.050442641311374
3,984,13,49,"A1_forw_C_reward with A2_backw_C_reward","D1_backw_A_reward with D2_forw_A_reward",8.039439606180027
4,2063,32,64,"C1_backw_A_path with C2_forw_A_path","E1_backw_A_path with E2_forw_A_path",8.01742912143596
5,2789,52,60,"D1_backw_C_path with D2_forw_C_path","D1_forw_C_path with D2_backw_C_path",7.612506385945186
6,2201,35,67,"C1_backw_B_reward with C2_forw_B_reward","E1_backw_B_reward with E2_forw_B_reward",7.462463074671085
7,2525,43,75,"C1_forw_B_reward with C2_backw_B_reward","E1_forw_B_reward with E2_backw_B_reward",7.170785883031352
8,2330,38,70,"C1_backw_D_path with C2_forw_D_path","E1_backw_D_path with E2_forw_D_path",6.269289611677185
9,2952,59,62,"D1_forw_B_reward with D2_backw_B_reward","D1_forw_D_path with D2_backw_D_path",5.631147458186108
10,2951,59,61,"D1_forw_B_reward with D2_backw_B_reward","D1_forw_C_reward with D2_backw_C_reward",5.169736392926076
11,2726,50,52,"D1_backw_B_path with D2_forw_B_path","D1_backw_C_path with D2_forw_C_path",4.950486849767004
12,353,4,48,"A1_backw_C_path with A2_forw_C_path","D1_backw_A_path with D2_forw_A_path",4.895084459691797
13,2630,46,78,"C1_forw_D_path with C2_backw_D_path","E1_forw_D_path with E2_backw_D_path",4.740667107476447
14,86,1,9,"A1_backw_A_reward with A2_forw_A_reward","A1_forw_A_reward with A2_backw_A_reward",4.414655111695294
15,2755,51,53,"D1_backw_B_reward with D2_forw_B_reward","D1_backw_C_reward with D2_forw_C_reward",4.394991074594295
16,539,7,15,"A1_backw_D_reward with A2_forw_D_reward","A1_forw_D_reward with A2_backw_D_reward",4.3013585554431595
17,2488,42,74,"C1_forw_B_path with C2_backw_B_path","E1_forw_B_path with E2_backw_B_path",4.088576624615627
18,2761,51,59,"D1_backw_B_reward with D2_forw_B_reward","D1_forw_B_reward with D2_backw_B_reward",3.9521896455575307
19,283,3,53,"A1_backw_B_reward with A2_forw_B_reward","D1_backw_C_reward with D2_forw_C_reward",3.5651360827339857
20,2677,48,62,"D1_backw_A_path with D2_forw_A_path","D1_forw_D_path with D2_backw_D_path",3.4035692902362165
21,2754,51,52,"D1_backw_B_reward with D2_forw_B_reward","D1_backw_C_path with D2_forw_C_path",3.251972453567369
22,1068,14,68,"A1_forw_D_path with A2_backw_D_path","E1_backw_C_path with E2_forw_C_path",3.251626704665846
23,2810,53,55,"D1_backw_C_reward with D2_forw_C_reward","D1_backw_D_reward with D2_forw_D_reward",3.248622694018032
24,2411,40,72,"C1_forw_A_path with C2_backw_A_path","E1_forw_A_path with E2_backw_A_path",3.1114431069031165
25,3086,67,72,"E1_backw_B_reward with E2_forw_B_reward","E1_forw_A_path with E2_backw_A_path",3.095644340853338
26,2664,48,49,"D1_backw_A_path with D2_forw_A_path","D1_backw_A_reward with D2_forw_A_reward",2.7232769011644486
27,1997,31,45,"B1_forw_D_reward with B2_backw_D_reward","C1_forw_C_reward with C2_backw_C_reward",2.7218664946808544
28,3149,74,79,"E1_forw_B_path with E2_backw_B_path","E1_forw_D_reward with E2_backw_D_reward",2.6707812555918875
29,2809,53,54,"D1_backw_C_reward with D2_forw_C_reward","D1_backw_D_path with D2_forw_D_path",2.6637596619316914
30,2671,48,56,"D1_backw_A_path with D2_forw_A_path","D1_forw_A_path with D2_backw_A_path",2.657101850978996
31,2716,49,71,"D1_backw_A_reward with D2_forw_A_reward","E1_backw_D_reward with E2_forw_D_reward",2.6362379912452716
32,663,8,68,"A1_forw_A_path with A2_backw_A_path","E1_backw_C_path with E2_forw_C_path",2.606813228129707
33,2711,49,66,"D1_backw_A_reward with D2_forw_A_reward","E1_backw_B_path with E2_forw_B_path",2.5786001392419715
34,2816,53,61,"D1_backw_C_reward with D2_forw_C_reward","D1_forw_C_reward with D2_backw_C_reward",2.575585050141982
35,2156,34,66,"C1_backw_B_path with C2_forw_B_path","E1_backw_B_path with E2_forw_B_path",2.563251141438273
36,2836,54,56,"D1_backw_D_path with D2_forw_D_path","D1_forw_A_path with D2_backw_A_path",2.485260490378176
37,2811,53,56,"D1_backw_C_reward with D2_forw_C_reward","D1_forw_A_path with D2_backw_A_path",2.460294936846909
38,392,5,13,"A1_backw_C_reward with A2_forw_C_reward","A1_forw_C_reward with A2_backw_C_reward",2.4532646186253038
39,2801,52,72,"D1_backw_C_path with D2_forw_C_path","E1_forw_A_path with E2_backw_A_path",2.432832615926545
40,644,8,49,"A1_forw_A_path with A2_backw_A_path","D1_backw_A_reward with D2_forw_A_reward",2.423673088612726
41,194,2,40,"A1_backw_B_path with A2_forw_B_path","C1_forw_A_path with C2_backw_A_path",2.418250165282787
42,241,3,11,"A1_backw_B_reward with A2_forw_B_reward","A1_forw_B_reward with A2_backw_B_reward",2.3842514794694396
43,2918,57,69,"D1_forw_A_reward with D2_backw_A_reward","E1_backw_C_reward with E2_forw_C_reward",2.336258586500624
44,667,8,72,"A1_forw_A_path with A2_backw_A_path","E1_forw_A_path with E2_backw_A_path",2.327276566486391
45,566,7,42,"A1_backw_D_reward with A2_forw_D_reward","C1_forw_B_path with C2_backw_B_path",2.3227526676830155
46,1083,15,19,"A1_forw_D_reward with A2_backw_D_reward","B1_backw_B_reward with B2_forw_B_reward",2.317022293764737
47,581,7,57,"A1_backw_D_reward with A2_forw_D_reward","D1_forw_A_reward with D2_backw_A_reward",2.3111581415458757
48,1678,25,29,"B1_forw_A_reward with B2_backw_A_reward","B1_forw_C_reward with B2_backw_C_reward",2.2852153552475616
49,7,0,8,"A1_backw_A_path with A2_forw_A_path","A1_forw_A_path with A2_backw_A_path",2.2836656775083672
50,604,8,9,"A1_forw_A_path with A2_backw_A_path","A1_forw_A_reward with A2_backw_A_reward",2.2119976901085847
51,63,0,64,"A1_backw_A_path with A2_forw_A_path","E1_backw_A_path with E2_forw_A_path",2.201982910574141
52,421,5,42,"A1_backw_C_reward with A2_forw_C_reward","C1_forw_B_path with C2_backw_B_path",2.185650998322243
53,2694,48,79,"D1_backw_A_path with D2_forw_A_path","E1_forw_D_reward with E2_backw_D_reward",2.1720982318092315
