run,roi,measure,mean_r,sem_r,n_cells
future_30_60,ACC,self_picked_peak,0.01227070309583538,0.012991889082475496,159
future_30_60,ACC,fixed_lag_30,0.01641605786258322,0.008445531138286841,159
future_30_60,ACC,fixed_lag_60,0.014926824978974169,0.010045200672410392,159
future_30_60,medialOFC,self_picked_peak,0.0037646179029583358,0.0100845177150223,167
future_30_60,medialOFC,fixed_lag_30,-0.0021837893844375788,0.006697358831001482,167
future_30_60,medialOFC,fixed_lag_60,0.012203600933676128,0.007612943188488329,167
future_30_60,PCC,self_picked_peak,0.02732191769568754,0.015685687115763337,64
future_30_60,PCC,fixed_lag_30,0.017276793773381496,0.010386564112334167,64
future_30_60,PCC,fixed_lag_60,0.008436840521231267,0.011055000606634386,64
future_30_60,Parahippocampal,self_picked_peak,0.014013151325341837,0.014519070526009403,61
future_30_60,Parahippocampal,fixed_lag_30,0.00918881783198073,0.011630119397448431,61
future_30_60,Parahippocampal,fixed_lag_60,-0.011983054480195326,0.010813522298883955,61
future_30_60,HC_anterior,self_picked_peak,-0.01004702606164232,0.007574182414090199,296
future_30_60,HC_anterior,fixed_lag_30,0.003485872282983215,0.005473598580790799,296
future_30_60,HC_anterior,fixed_lag_60,-0.002799343431211413,0.005756438439003036,296
future_30_60,HC_mid,self_picked_peak,0.014699722668239244,0.011321275404085757,180
future_30_60,HC_mid,fixed_lag_30,-0.007345512094611779,0.008233383742983833,180
future_30_60,HC_mid,fixed_lag_60,-0.0015604418698046778,0.007723608264643919,180
future_30_60,EC,self_picked_peak,-0.06933004285898729,0.02417942174102747,28
future_30_60,EC,fixed_lag_30,0.0004885867655526668,0.017153043987505306,28
future_30_60,EC,fixed_lag_60,0.0015181567661172333,0.012057340436991052,28
now_330_0,ACC,self_picked_peak,0.01227070309583538,0.012991889082475496,159
now_330_0,ACC,fixed_lag_330,0.0060901427833381944,0.008728447445005045,159
now_330_0,ACC,fixed_lag_0,0.012341598529300512,0.009638600285964555,159
now_330_0,medialOFC,self_picked_peak,0.0037646179029583358,0.0100845177150223,167
now_330_0,medialOFC,fixed_lag_330,0.0121073411912563,0.007305441120866849,167
now_330_0,medialOFC,fixed_lag_0,0.005201161774342448,0.00692784751588197,167
now_330_0,PCC,self_picked_peak,0.02732191769568754,0.015685687115763337,64
now_330_0,PCC,fixed_lag_330,0.0056623076975167485,0.012027234998201249,64
now_330_0,PCC,fixed_lag_0,0.013527867787321833,0.01170286927017488,64
now_330_0,Parahippocampal,self_picked_peak,0.014013151325341837,0.014519070526009403,61
now_330_0,Parahippocampal,fixed_lag_330,0.020383899019500364,0.010101851826006888,61
now_330_0,Parahippocampal,fixed_lag_0,0.0031962557369529005,0.01119911724050726,61
now_330_0,HC_anterior,self_picked_peak,-0.01004702606164232,0.007574182414090199,296
now_330_0,HC_anterior,fixed_lag_330,0.009562987223639845,0.005723242415674856,296
now_330_0,HC_anterior,fixed_lag_0,0.001597912971147077,0.005873946869095977,296
now_330_0,HC_mid,self_picked_peak,0.014699722668239244,0.011321275404085757,180
now_330_0,HC_mid,fixed_lag_330,0.008925823132118154,0.007445234827986627,180
now_330_0,HC_mid,fixed_lag_0,0.018558490718635398,0.008659977833159709,180
now_330_0,EC,self_picked_peak,-0.06933004285898729,0.02417942174102747,28
now_330_0,EC,fixed_lag_330,-0.023138050994766412,0.011579861374796174,28
now_330_0,EC,fixed_lag_0,-0.0024958520352457705,0.013627388206067558,28
