Thu Apr  6 11:25:21 2023    ./profile

         260722 function calls (256219 primitive calls) in 11.308 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   11.308   11.308 {built-in method builtins.exec}
        1    0.000    0.000   11.308   11.308 <string>:1(<module>)
        1    0.005    0.005   11.307   11.307 /var/folders/h2/_86s79551w1734r87y2wlkk40000gt/T/ipykernel_2526/1137761822.py:1(test_func)
        1    0.200    0.200   11.303   11.303 /Users/xpsy1114/Documents/projects/multiple_clocks/multiple_clocks_repo/mc/simulation/optimise.py:192(optimise_several_task_configs)
       24    0.002    0.000    8.317    0.347 /Users/xpsy1114/Documents/projects/multiple_clocks/multiple_clocks_repo/mc/simulation/RDMs.py:41(df_based_RDM)
       24    0.000    0.000    8.255    0.344 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/frame.py:10225(corr)
       24    8.236    0.343    8.236    0.343 {pandas._libs.algos.nancorr}
       12    0.771    0.064    1.734    0.145 /Users/xpsy1114/Documents/projects/multiple_clocks/multiple_clocks_repo/mc/simulation/RDMs.py:223(corr_matrices_pearson)
7756/5938    0.093    0.000    1.654    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       12    0.000    0.000    0.873    0.073 <__array_function__ internals>:177(corrcoef)
       12    0.000    0.000    0.873    0.073 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/lib/function_base.py:2713(corrcoef)
       12    0.000    0.000    0.872    0.073 <__array_function__ internals>:177(cov)
       12    0.014    0.001    0.863    0.072 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/lib/function_base.py:2486(cov)
13426/13348    0.828    0.000    0.828    0.000 {built-in method numpy.asarray}
        1    0.057    0.057    0.486    0.486 /Users/xpsy1114/Documents/projects/multiple_clocks/multiple_clocks_repo/mc/simulation/RDMs.py:203(corr_matrices_kendall)
       24    0.010    0.000    0.479    0.020 /Users/xpsy1114/Documents/projects/multiple_clocks/multiple_clocks_repo/mc/simulation/predictions.py:392(convolve_with_hrf)
     3088    0.003    0.000    0.467    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/scipy/signal/_signaltools.py:1294(convolve)
     3088    0.001    0.000    0.451    0.000 <__array_function__ internals>:177(convolve)
     3088    0.002    0.000    0.450    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/core/numeric.py:754(convolve)
     3088    0.447    0.000    0.447    0.000 {built-in method numpy.core._multiarray_umath.correlate}
        1    0.019    0.019    0.423    0.423 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/scipy/stats/_stats_py.py:5018(kendalltau)
      317    0.000    0.000    0.295    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
       44    0.292    0.007    0.292    0.007 {method 'argsort' of 'numpy.ndarray' objects}
       28    0.000    0.000    0.292    0.010 <__array_function__ internals>:177(argsort)
       28    0.000    0.000    0.292    0.010 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1012(argsort)
  159/122    0.000    0.000    0.100    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/util/_decorators.py:323(wrapper)
       26    0.000    0.000    0.096    0.004 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/lib/twodim_base.py:900(tril_indices)
       78    0.084    0.001    0.084    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/lib/twodim_base.py:980(<genexpr>)
       48    0.000    0.000    0.063    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/frame.py:5621(fillna)
       48    0.000    0.000    0.063    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/generic.py:6674(fillna)
        1    0.039    0.039    0.040    0.040 {scipy.stats._stats._kendall_dis}
      310    0.000    0.000    0.037    0.000 <__array_function__ internals>:177(concatenate)
       64    0.000    0.000    0.036    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:301(apply)
       48    0.000    0.000    0.036    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:433(fillna)
       48    0.004    0.000    0.035    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/blocks.py:1163(fillna)
       12    0.000    0.000    0.032    0.003 <__array_function__ internals>:177(dot)
       24    0.010    0.000    0.029    0.001 /Users/xpsy1114/Documents/projects/multiple_clocks/multiple_clocks_repo/mc/simulation/predictions.py:132(set_clocks_bytime)
      100    0.000    0.000    0.027    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/generic.py:5973(_consolidate_inplace)
      100    0.000    0.000    0.027    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/generic.py:5959(_protect_consolidate)
      100    0.000    0.000    0.027    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/generic.py:5977(f)
      112    0.000    0.000    0.025    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:1861(_consolidate_inplace)
      100    0.000    0.000    0.025    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:675(consolidate)
       24    0.009    0.000    0.024    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/blocks.py:1052(where)
       25    0.000    0.000    0.024    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:2316(_consolidate)
       26    0.013    0.001    0.024    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:2358(_merge_blocks)
       52    0.000    0.000    0.021    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/reshape/concat.py:146(concat)
      513    0.019    0.000    0.019    0.000 {method 'copy' of 'numpy.ndarray' objects}
       48    0.000    0.000    0.017    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/frame.py:1779(to_numpy)
       48    0.008    0.000    0.017    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:1718(as_array)
       22    0.000    0.000    0.015    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/frame.py:5248(drop)
       22    0.000    0.000    0.015    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/generic.py:4475(drop)
       52    0.000    0.000    0.015    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/reshape/concat.py:565(get_result)
       22    0.000    0.000    0.015    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/generic.py:4512(_drop_axis)
      196    0.015    0.000    0.015    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       52    0.000    0.000    0.014    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/concat.py:176(concatenate_managers)
     6675    0.013    0.000    0.013    0.000 {built-in method numpy.array}
     3088    0.002    0.000    0.012    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/scipy/signal/_signaltools.py:1156(choose_conv_method)
       26    0.000    0.000    0.011    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/lib/twodim_base.py:376(tri)
       26    0.011    0.000    0.011    0.000 {method 'outer' of 'numpy.ufunc' objects}
       26    0.000    0.000    0.010    0.000 <__array_function__ internals>:177(vstack)
      121    0.000    0.000    0.010    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:108(isna)
       26    0.000    0.000    0.010    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/core/shape_base.py:222(vstack)
      121    0.000    0.000    0.010    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:191(_isna)
       96    0.009    0.000    0.009    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:268(_isna_array)
     1103    0.000    0.000    0.009    0.000 <__array_function__ internals>:177(where)
       24    0.000    0.000    0.009    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/computation/expressions.py:245(where)
       24    0.000    0.000    0.009    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/computation/expressions.py:175(_where_numexpr)
       23    0.000    0.000    0.008    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/computation/expressions.py:170(_where_standard)
       48    0.000    0.000    0.008    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:776(_slice_take_blocks_ax0)
