Thu Apr  6 13:17:00 2023    ./profile_1

         360361 function calls (353498 primitive calls) in 6.524 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.427    0.427    6.524    6.524 /Users/xpsy1114/Documents/projects/multiple_clocks/multiple_clocks_repo/mc/simulation/optimise.py:192(optimise_several_task_configs)
9065/6461    0.693    0.000    3.769    0.001 {built-in method numpy.core._multiarray_umath.implement_array_function}
       21    1.625    0.077    3.752    0.179 /Users/xpsy1114/Documents/projects/multiple_clocks/multiple_clocks_repo/mc/simulation/RDMs.py:224(corr_matrices_pearson)
       63    0.000    0.000    2.822    0.045 <__array_function__ internals>:177(corrcoef)
       63    0.133    0.002    2.822    0.045 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/lib/function_base.py:2713(corrcoef)
       63    0.000    0.000    2.512    0.040 <__array_function__ internals>:177(cov)
       63    0.152    0.002    2.483    0.039 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/lib/function_base.py:2486(cov)
14584/14377    1.667    0.000    1.668    0.000 {built-in method numpy.asarray}
       42    0.000    0.000    1.057    0.025 /Users/xpsy1114/Documents/projects/multiple_clocks/multiple_clocks_repo/mc/simulation/RDMs.py:41(df_based_RDM)
       24    0.010    0.000    0.606    0.025 /Users/xpsy1114/Documents/projects/multiple_clocks/multiple_clocks_repo/mc/simulation/predictions.py:392(convolve_with_hrf)
     3187    0.003    0.000    0.593    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/scipy/signal/_signaltools.py:1294(convolve)
     3187    0.001    0.000    0.576    0.000 <__array_function__ internals>:177(convolve)
     3187    0.002    0.000    0.575    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/core/numeric.py:754(convolve)
     3187    0.572    0.000    0.572    0.000 {built-in method numpy.core._multiarray_umath.correlate}
       63    0.000    0.000    0.568    0.009 <__array_function__ internals>:177(dot)
        1    0.067    0.067    0.518    0.518 /Users/xpsy1114/Documents/projects/multiple_clocks/multiple_clocks_repo/mc/simulation/RDMs.py:204(corr_matrices_kendall)
      433    0.000    0.000    0.486    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
        1    0.018    0.018    0.440    0.440 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/scipy/stats/_stats_py.py:5018(kendalltau)
      116    0.309    0.003    0.309    0.003 {method 'argsort' of 'numpy.ndarray' objects}
       84    0.000    0.000    0.309    0.004 <__array_function__ internals>:177(argsort)
       84    0.000    0.000    0.308    0.004 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1012(argsort)
  233/176    0.000    0.000    0.237    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/util/_decorators.py:323(wrapper)
       44    0.000    0.000    0.218    0.005 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/lib/twodim_base.py:900(tril_indices)
      132    0.182    0.001    0.184    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/lib/twodim_base.py:980(<genexpr>)
       63    0.000    0.000    0.176    0.003 <__array_function__ internals>:177(clip)
       63    0.000    0.000    0.175    0.003 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2085(clip)
       63    0.000    0.000    0.175    0.003 {method 'clip' of 'numpy.ndarray' objects}
       63    0.000    0.000    0.175    0.003 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/core/_methods.py:126(_clip)
       63    0.173    0.003    0.173    0.003 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/core/_methods.py:107(_clip_dep_invoke_with_casting)
       66    0.000    0.000    0.158    0.002 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/frame.py:5621(fillna)
       66    0.001    0.000    0.158    0.002 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/generic.py:6674(fillna)
       88    0.001    0.000    0.096    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:301(apply)
       66    0.000    0.000    0.095    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:433(fillna)
       66    0.012    0.000    0.093    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/blocks.py:1163(fillna)
      353    0.085    0.000    0.085    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       63    0.000    0.000    0.069    0.001 <__array_function__ internals>:177(average)
       63    0.001    0.000    0.068    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/lib/function_base.py:396(average)
      495    0.000    0.000    0.067    0.000 <__array_function__ internals>:177(concatenate)
       63    0.000    0.000    0.066    0.001 {method 'mean' of 'numpy.ndarray' objects}
       63    0.001    0.000    0.066    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/core/_methods.py:163(_mean)
       32    0.023    0.001    0.064    0.002 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/blocks.py:1052(where)
      188    0.000    0.000    0.062    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/generic.py:5973(_consolidate_inplace)
      188    0.000    0.000    0.062    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/generic.py:5959(_protect_consolidate)
      188    0.000    0.000    0.061    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/generic.py:5977(f)
      112    0.000    0.000    0.050    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:1861(_consolidate_inplace)
       62    0.000    0.000    0.048    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:2316(_consolidate)
      188    0.000    0.000    0.046    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:675(consolidate)
       40    0.000    0.000    0.046    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/frame.py:5248(drop)
       40    0.000    0.000    0.046    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/generic.py:4475(drop)
       40    0.000    0.000    0.045    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/generic.py:4512(_drop_axis)
       82    0.024    0.000    0.044    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:2358(_merge_blocks)
        1    0.041    0.041    0.041    0.041 {scipy.stats._stats._kendall_dis}
     7014    0.039    0.000    0.039    0.000 {built-in method numpy.array}
       24    0.011    0.000    0.034    0.001 /Users/xpsy1114/Documents/projects/multiple_clocks/multiple_clocks_repo/mc/simulation/predictions.py:132(set_clocks_bytime)
       70    0.000    0.000    0.033    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/reshape/concat.py:146(concat)
       44    0.000    0.000    0.033    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/lib/twodim_base.py:376(tri)
       44    0.032    0.001    0.032    0.001 {method 'outer' of 'numpy.ufunc' objects}
       20    0.000    0.000    0.028    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexing.py:806(__setitem__)
       20    0.000    0.000    0.027    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexing.py:1658(_setitem_with_indexer)
